,60.00%,80.00%,90.00%,99.00%
2560,1.397643,3.739005,10.392670,99.452673
2570,1.395069,3.737601,10.368264,99.892278
2580,1.393757,3.734059,10.343167,100.301827
2590,1.396563,3.745398,10.322143,100.708268
2600,1.394441,3.740006,10.291539,101.159669
2610,1.393640,3.735612,10.258683,101.609109
2620,1.395881,3.730353,10.225631,102.067411
2630,1.395774,3.721658,10.194131,102.516615
2640,1.394350,3.712594,10.162300,102.974270
2650,1.393211,3.715445,10.127427,103.410497
2660,1.392170,3.710699,10.121307,103.844459
2670,1.390708,3.705302,10.110215,104.290873
2680,1.392495,3.698819,10.085991,104.773303
2690,1.391752,3.693207,10.056477,105.264719
2700,1.390765,3.696783,10.065275,105.752229
2710,1.391909,3.690732,10.072245,106.217146
2720,1.391487,3.698456,10.099818,106.623296
2730,1.391641,3.694070,10.137610,107.050417
2740,1.393076,3.684901,10.167029,107.492741
2750,1.397103,3.700329,10.219279,107.956582
2760,1.395074,3.694695,10.245674,108.427592
2770,1.393967,3.690224,10.272016,108.859278
2780,1.391760,3.683005,10.278694,109.235094
2790,1.389984,3.696823,10.250998,109.569809
2800,1.390375,3.692882,10.221502,109.900672
2810,1.388851,3.696495,10.190084,110.211396
2820,1.388873,3.689456,10.164674,110.539684
2830,1.387420,3.679347,10.139742,110.858182
2840,1.387522,3.679672,10.115493,111.144905
2850,1.393646,3.674809,10.101187,111.387449
2860,1.394613,3.670608,10.107009,111.645621
2870,1.395614,3.673086,10.116451,111.892696
2880,1.400808,3.672294,10.129906,112.132351
2890,1.399212,3.664993,10.184292,112.380609
2900,1.397375,3.659069,10.214035,112.566191
2910,1.398554,3.654488,10.208970,112.719672
2920,1.398037,3.647401,10.246916,112.826741
2930,1.400894,3.638319,10.266357,112.929150
2940,1.398455,3.631298,10.273589,113.008776
2950,1.396459,3.622483,10.257693,113.059412
2960,1.396975,3.618250,10.243214,113.049831
2970,1.402313,3.635694,10.222834,112.971275
2980,1.405180,3.633487,10.193212,112.869287
2990,1.403987,3.630563,10.170668,112.759005
3000,1.401841,3.626965,10.141122,112.681624
3010,1.399807,3.627336,10.132028,112.649570
3020,1.397282,3.641551,10.114979,112.629924
3030,1.397636,3.655358,10.090558,112.624309
3040,1.400138,3.648055,10.072435,112.622376
3050,1.397269,3.642114,10.046213,112.644260
3060,1.395160,3.634739,10.019614,112.697952
3070,1.393895,3.632096,9.994357,112.763621
3080,1.394385,3.634165,9.974189,112.849504
3090,1.392745,3.627845,9.970980,112.914759
3100,1.391840,3.620687,9.970853,112.961823
3110,1.389856,3.612370,9.952546,113.016818
3120,1.388211,3.608040,9.932396,113.113305
3130,1.388825,3.602230,9.908769,113.227762
3140,1.398365,3.597900,9.886699,113.305905
3150,1.401055,3.602621,9.868201,113.379792
3160,1.400602,3.612127,9.842324,113.481473
3170,1.399568,3.608354,9.820042,113.583668
3180,1.398780,3.602285,9.835563,113.699342
3190,1.397473,3.605175,9.848304,113.788122
3200,1.397498,3.608848,9.842293,113.848679
3210,1.396500,3.613310,9.853202,113.897369
3220,1.395053,3.610905,9.842796,113.980651
3230,1.395790,3.608203,9.817315,114.078456
3240,1.401831,3.605018,9.790829,114.151545
3250,1.401733,3.600275,9.771062,114.187775
3260,1.401438,3.592157,9.749046,114.252131
3270,1.400951,3.589239,9.727797,114.323832
3280,1.403099,3.587973,9.713288,114.404773
3290,1.403962,3.588944,9.691811,114.495349
3300,1.403516,3.592042,9.679951,114.588733
3310,1.402074,3.588129,9.676189,114.680449
3320,1.400896,3.586352,9.661330,114.792791
3330,1.400586,3.585463,9.640817,114.930228
3340,1.400755,3.583816,9.618446,115.051392
3350,1.398791,3.591675,9.606540,115.182315
3360,1.399197,3.610263,9.594525,115.296724
3370,1.400835,3.609456,9.598740,115.391288
3380,1.399845,3.604330,9.596587,115.478073
3390,1.400168,3.608200,9.571759,115.577249
3400,1.404310,3.605592,9.553306,115.627653
3410,1.405122,3.601977,9.536729,115.661902
3420,1.406881,3.596328,9.512898,115.673834
3430,1.406473,3.595849,9.495986,115.671250
3440,1.404128,3.596018,9.487579,115.649605
3450,1.402928,3.590441,9.486254,115.638298
3460,1.402673,3.583626,9.472930,115.632365
3470,1.401452,3.588929,9.464174,115.633122
3480,1.401364,3.582255,9.486391,115.676937
3490,1.400604,3.586271,9.491801,115.695731
3500,1.403233,3.579714,9.476459,115.704829
3510,1.403353,3.572012,9.489621,115.699099
3520,1.404137,3.571320,9.491939,115.704792
3530,1.406808,3.565466,9.499311,115.739914
3540,1.409859,3.562242,9.480230,115.788098
3550,1.414985,3.561247,9.462469,115.822037
3560,1.417018,3.558162,9.448563,115.861566
3570,1.419016,3.551255,9.431698,115.913802
3580,1.423912,3.546600,9.426325,115.956353
3590,1.425244,3.542095,9.413039,116.039919
3600,1.425065,3.538951,9.399873,116.134346
3610,1.423373,3.536320,9.406323,116.220019
3620,1.422188,3.544456,9.408028,116.276421
3630,1.425714,3.547164,9.390523,116.319632
3640,1.425071,3.553677,9.375276,116.314219
3650,1.423220,3.549533,9.367548,116.293150
3660,1.425806,3.548444,9.362810,116.268742
3670,1.427617,3.542856,9.342256,116.267445
3680,1.426075,3.544065,9.345053,116.259061
3690,1.426883,3.558396,9.347718,116.262901
3700,1.426841,3.570949,9.326549,116.276789
3710,1.431331,3.570706,9.304958,116.310500
3720,1.430426,3.565336,9.290014,116.372034
3730,1.429087,3.562128,9.277762,116.489596
3740,1.429992,3.559628,9.292774,116.606591
3750,1.432985,3.557555,9.313813,116.709128
3760,1.432174,3.551856,9.303623,116.802510
3770,1.434973,3.548812,9.291431,116.930169
3780,1.434508,3.551220,9.285766,117.050436
3790,1.436216,3.548148,9.272924,117.141280
3800,1.434341,3.541287,9.290088,117.227553
3810,1.432945,3.543230,9.293605,117.325816
3820,1.433736,3.546294,9.314469,117.474221
3830,1.436236,3.553573,9.341331,117.619711
3840,1.442436,3.554826,9.361090,117.747778
3850,1.442270,3.574329,9.389305,117.879998
3860,1.441229,3.588447,9.376792,117.980007
3870,1.439065,3.587688,9.357424,118.074595
3880,1.439198,3.582746,9.341074,118.192312
3890,1.439683,3.596170,9.320331,118.334408
3900,1.438567,3.593841,9.305165,118.452168
3910,1.436248,3.589526,9.284816,118.573621
3920,1.434244,3.589408,9.271167,118.707013
3930,1.433158,3.588064,9.269813,118.840738
3940,1.432081,3.587823,9.299882,118.971767
3950,1.432216,3.582527,9.348404,119.030402
3960,1.433317,3.576808,9.390364,119.075643
3970,1.432134,3.575546,9.397026,119.128440
3980,1.431481,3.571548,9.383890,119.184650
3990,1.431694,3.579710,9.366961,119.254262
4000,1.429910,3.576624,9.358149,119.375118
4010,1.431760,3.570476,9.383831,119.508899
4020,1.433639,3.570172,9.394750,119.640922
4030,1.433591,3.565592,9.402033,119.784090
4040,1.433182,3.563456,9.392205,119.936075
4050,1.431914,3.557843,9.378375,120.088738
4060,1.432291,3.552464,9.361501,120.230870
4070,1.431063,3.550595,9.344919,120.387297
4080,1.429837,3.545224,9.335817,120.559032
4090,1.429916,3.544241,9.318732,120.748018
4100,1.428798,3.544732,9.327058,120.940160
4110,1.430908,3.552329,9.311345,121.121670
4120,1.432108,3.551855,9.292261,121.307025
4130,1.432850,3.551017,9.275065,121.482391
4140,1.432725,3.546912,9.270950,121.666701
4150,1.433139,3.541963,9.259687,121.793764
4160,1.432693,3.539253,9.252270,121.921354
4170,1.432277,3.533984,9.248431,122.056822
4180,1.434126,3.528867,9.232003,122.215881
4190,1.433350,3.526789,9.215714,122.402082
4200,1.433954,3.527836,9.216986,122.571547
4210,1.433370,3.525260,9.202008,122.722181
4220,1.432290,3.521682,9.189141,122.880289
4230,1.431631,3.518968,9.176386,123.060985
4240,1.431216,3.517262,9.159189,123.283230
4250,1.429868,3.519829,9.172066,123.528711
4260,1.430410,3.514545,9.182923,123.771083
4270,1.430659,3.510599,9.180317,124.002431
4280,1.435384,3.530543,9.172275,124.228943
4290,1.434585,3.533879,9.157316,124.474310
4300,1.434076,3.532598,9.149260,124.715325
4310,1.436907,3.529580,9.143837,124.942618
4320,1.439240,3.524487,9.149209,125.164412
4330,1.441463,3.519687,9.137954,125.393168
4340,1.440867,3.524949,9.130982,125.599459
4350,1.438965,3.518985,9.114828,125.791973
4360,1.440323,3.515810,9.115823,125.971823
4370,1.441628,3.514257,9.129842,126.147575
4380,1.440042,3.513876,9.140409,126.324893
4390,1.438198,3.509816,9.129146,126.491690
4400,1.438090,3.504366,9.115185,126.684987
4410,1.438727,3.509226,9.098163,126.870054
4420,1.440948,3.506225,9.095702,127.029246
4430,1.439417,3.501000,9.082642,127.181407
4440,1.438992,3.500839,9.068945,127.318193
4450,1.441379,3.502706,9.051576,127.464851
4460,1.439607,3.515454,9.040549,127.608317
4470,1.440050,3.514863,9.023817,127.732063
4480,1.442123,3.511212,9.018023,127.860260
4490,1.450263,3.518791,9.026240,127.964615
4500,1.451688,3.520411,9.041698,128.041074
4510,1.450880,3.517188,9.053425,128.103740
4520,1.449625,3.529501,9.047721,128.177932
4530,1.448487,3.528919,9.038775,128.271745
4540,1.447026,3.525918,9.049422,128.369043
4550,1.446611,3.519955,9.053781,128.464427
4560,1.445718,3.514919,9.045215,128.559414
4570,1.445269,3.517553,9.032136,128.688255
4580,1.444415,3.518470,9.025908,128.833807
4590,1.446521,3.514886,9.021315,128.976306
4600,1.451209,3.508817,9.010788,129.128307
4610,1.453701,3.506532,9.002644,129.332843
4620,1.452145,3.519053,9.008257,129.575912
4630,1.457158,3.518265,9.027575,129.853710
4640,1.456273,3.524536,9.045296,130.140639
4650,1.455813,3.535693,9.045436,130.453280
4660,1.456760,3.564930,9.059952,130.787749
4670,1.458069,3.579567,9.066834,131.119183
4680,1.456879,3.580552,9.055686,131.488259
4690,1.454990,3.579733,9.049371,131.846526
4700,1.454848,3.574965,9.032984,132.183652
4710,1.452943,3.572073,9.028471,132.524672
4720,1.452757,3.571614,9.016200,132.872404
4730,1.454137,3.570107,9.004401,133.225906
4740,1.453633,3.564492,8.994119,133.569479
4750,1.453477,3.565044,8.995102,133.918905
4760,1.454079,3.562287,8.982174,134.263212
4770,1.455495,3.556959,8.972519,134.556518
4780,1.454453,3.554150,8.966477,134.821073
4790,1.453316,3.564545,8.961354,135.050036
4800,1.452192,3.566139,8.953205,135.251414
4810,1.455284,3.564505,8.961256,135.423042
4820,1.461261,3.558751,8.966671,135.585427
4830,1.461385,3.554208,8.953533,135.749420
4840,1.460900,3.569976,8.942053,135.901880
4850,1.461249,3.571906,8.934058,136.067435
4860,1.460151,3.568743,8.918774,136.222860
4870,1.459561,3.564007,8.907625,136.398118
4880,1.458513,3.559343,8.894970,136.569844
4890,1.458979,3.555938,8.879817,136.729500
4900,1.458980,3.551776,8.866194,136.890458
4910,1.458903,3.550967,8.851648,137.066068
4920,1.459027,3.546567,8.838512,137.254822
4930,1.459046,3.540928,8.829605,137.436614
4940,1.459432,3.537112,8.819456,137.628392
4950,1.458958,3.531513,8.805230,137.840870
4960,1.463224,3.528740,8.789890,138.055546
4970,1.463192,3.525320,8.775158,138.260950
4980,1.467132,3.522155,8.766319,138.494520
4990,1.466308,3.526202,8.757000,138.756623
5000,1.465987,3.521977,8.750621,139.017114
5010,1.465316,3.528153,8.753247,139.279712
5020,1.464115,3.525064,8.751925,139.545539
5030,1.462533,3.520207,8.738844,139.821373
5040,1.462181,3.516712,8.733851,140.066793
5050,1.462532,3.515732,8.726617,140.291439
5060,1.465088,3.512064,8.717809,140.510427
5070,1.464776,3.508453,8.706789,140.715813
5080,1.467489,3.506319,8.700851,140.925982
5090,1.467841,3.504472,8.689505,141.141965
5100,1.466975,3.503085,8.681823,141.380480
5110,1.465173,3.509854,8.683328,141.610792
5120,1.468698,3.534035,8.681698,141.828857
5130,1.467169,3.533641,8.675330,142.049092
5140,1.467237,3.540176,8.690613,142.272535
5150,1.467680,3.538819,8.707809,142.512978
5160,1.469782,3.538412,8.715120,142.762019
5170,1.470169,3.538508,8.737835,143.021114
5180,1.469308,3.537143,8.759207,143.264964
5190,1.469078,3.535327,8.772529,143.498269
5200,1.467437,3.531788,8.780958,143.726294
5210,1.465701,3.535727,8.792744,143.980219
