,60.0%,80.0%,90.0%,99.0%
2580,0.582010,0.786704,0.900833,0.989683
2590,0.582609,0.787412,0.900760,0.989723
2600,0.582301,0.787412,0.900765,0.989762
2610,0.582296,0.787155,0.900154,0.989802
2620,0.582911,0.787167,0.899199,0.989840
2630,0.582684,0.786438,0.898892,0.989879
2640,0.582567,0.785679,0.898350,0.989919
2650,0.582155,0.785994,0.896794,0.989956
2660,0.581971,0.785828,0.897025,0.989994
2670,0.582025,0.785784,0.897385,0.990032
2680,0.582403,0.785668,0.897242,0.990068
2690,0.582567,0.785770,0.896526,0.990106
2700,0.582581,0.786407,0.896904,0.990145
2710,0.583149,0.786432,0.897282,0.990178
2720,0.582997,0.787074,0.897668,0.990214
2730,0.583122,0.786773,0.898034,0.990250
2740,0.583187,0.786254,0.898417,0.990287
2750,0.583735,0.786755,0.898779,0.990322
2760,0.583719,0.786482,0.899145,0.990356
2770,0.583590,0.786062,0.899507,0.990391
2780,0.583124,0.785673,0.899869,0.990425
2790,0.582917,0.786294,0.899796,0.990461
2800,0.583363,0.785818,0.899554,0.990494
2810,0.583230,0.786425,0.898711,0.990528
2820,0.583620,0.786303,0.898496,0.990561
2830,0.583571,0.785446,0.898255,0.990594
2840,0.583684,0.785656,0.898108,0.990630
2850,0.584169,0.785430,0.898336,0.990661
2860,0.584457,0.785150,0.898694,0.990693
2870,0.585004,0.785668,0.899040,0.990726
2880,0.585971,0.785724,0.899391,0.990758
2890,0.586090,0.785503,0.899739,0.990790
2900,0.585856,0.785286,0.900086,0.990823
2910,0.586432,0.785544,0.900414,0.990854
2920,0.586789,0.784895,0.900748,0.990884
2930,0.586758,0.784266,0.901086,0.990916
2940,0.586293,0.783954,0.901420,0.990947
2950,0.585731,0.783041,0.901301,0.990977
2960,0.585956,0.782747,0.901194,0.991008
2970,0.586671,0.783444,0.900952,0.991040
2980,0.587197,0.783859,0.899909,0.991068
2990,0.587155,0.783798,0.899688,0.991098
3000,0.586755,0.783648,0.898925,0.991128
3010,0.586341,0.783959,0.898974,0.991157
3020,0.585714,0.784290,0.899292,0.991186
3030,0.585815,0.784953,0.899257,0.991215
3040,0.586541,0.784423,0.899419,0.991246
3050,0.585914,0.784304,0.898956,0.991274
3060,0.585775,0.784069,0.898470,0.991301
3070,0.585575,0.784394,0.898159,0.991330
3080,0.585651,0.784477,0.898023,0.991358
3090,0.585245,0.784373,0.898269,0.991388
3100,0.585180,0.784162,0.898598,0.991414
3110,0.584920,0.783426,0.898500,0.991442
3120,0.584705,0.783459,0.897917,0.991469
3130,0.585050,0.783216,0.897477,0.991496
3140,0.585469,0.782993,0.897086,0.991524
3150,0.585993,0.783351,0.897275,0.991550
3160,0.585781,0.783714,0.896249,0.991577
3170,0.585581,0.783709,0.896027,0.991603
3180,0.585391,0.783586,0.896356,0.991630
3190,0.585090,0.783569,0.896681,0.991656
3200,0.585150,0.783569,0.897005,0.991682
3210,0.585090,0.783943,0.897324,0.991708
3220,0.584823,0.784113,0.897255,0.991734
3230,0.584857,0.783988,0.896767,0.991760
